63900000,51400000,41050000,0,Fjölbýli,2006,109.9,3,2,1,1,Sameiginlegur,Nei / Ekki vitað,Já,210,64.09304999999999,-21.940938
37900000,2870000,0,0,Fjölbýli,2019,59.9,2,1,1,1,Sameiginlegur,Já,Nei / Ekki vitað,270,64.1661124,-21.703853
64900000,4610000,0,0,Fjölbýli,2019,121.4,4,3,1,1,Sameiginlegur,Já,Já,270,64.1661124,-21.703853
52900000,42750000,33160000,0,Fjölbýli,1996,84.3,3,1,2,1,Sameiginlegur,Nei / Ekki vitað,Já,105,64.1491771,-21.8864568
49900000,44300000,30350000,0,Fjölbýli,1960,104.4,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað,104,64.13386009999999,-21.860106
54900000,51250000,48050000,0,Fjölbýli,1990,159.9,6,5,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað,270,64.142296,-21.9122739
58900000,0,0,0,Fjölbýli,2019,96.6,3,2,1,1,Sérinngangur,Já,Nei / Ekki vitað,200,64.1140803,-21.9056547
37900000,0,0,0,Fjölbýli,2019,55.3,1,Óuppgefið,1,1,Sameiginlegur,Já,Nei / Ekki vitað,103,64.12711999999999,-21.8923469
59900000,149900000,0,0,Fjölbýli,2019,197.1,4,2,1,1,Sérinngangur,Já,Nei / Ekki vitað,200,64.1140803,-21.9056547
62900000,0,0,0,Fjölbýli,2019,98.9,3,2,1,1,Sérinngangur,Já,Nei / Ekki vitað,200,64.1140803,-21.9056547
89900000,0,0,0,Fjölbýli,2019,147,3,2,1,1,Sérinngangur,Já,Nei / Ekki vitað,200,64.1140803,-21.9056547
99900000,0,0,0,Fjölbýli,2019,164.8,3,2,1,1,Sameiginlegur,Já,Nei / Ekki vitað,200,64.1140803,-21.9056547
62900000,0,0,0,Fjölbýli,2019,98.2,3,2,1,1,Sameiginlegur,Já,Nei / Ekki vitað,200,64.1140803,-21.9056547
57900000,8350000,7650000,0,Fjölbýli,2018,95.4,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað,102,64.14061509999999,-21.9188014
40900000,8350000,7650000,0,Fjölbýli,2018,54.8,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað,102,64.134318,-21.9287201
53500000,43000000,43770000,0,Fjölbýli,2014,95.9,3,2,1,1,Sérinngangur,Já,Já,210,64.070798,-21.9068921
63900000,6070000,0,0,Fjölbýli,0,99,4,3,1,1,Sér innaf svölum,Nei / Ekki vitað,Nei / Ekki vitað,102,64.13359009999999,-21.9295395
65900000,61900000,53630000,0,Einbýli,1956,177,5,4,1,1,Ekki vitað,Nei / Ekki vitað,Já,220,64.0570805,-21.9710415
49900000,42900000,38650000,0,Fjölbýli,2001,113.5,5,4,1,1,Sérinngangur,Nei / Ekki vitað,Nei / Ekki vitað,270,64.1625497,-21.7248494
49900000,44700000,30350000,0,Fjölbýli,2006,70.4,2,1,Óuppgefið,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað,101,64.14336329999999,-21.9179499
49000000,19800000,0,0,Fjölbýli,2019,98.5,2,1,1,1,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað,110,64.12010699999999,-21.809491
69000000,21100000,0,0,Fjölbýli,2019,100.2,3,2,1,2,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað,110,64.12010699999999,-21.809491
67900000,58600000,55550000,0,Fjölbýli,1983,159.3,5,4,2,0,Sameiginlegur,Nei / Ekki vitað,Nei / Ekki vitað,110,64.1221087,-21.8181006
52900000,49050000,42210000,0,Fjölbýli,2008,116.6,4,3,1,1,Sameiginlegur,Nei / Ekki vitað,Já,221,64.054662,-21.9312749
